description,images,purchaseLink,aesthetic,seasonalColors,occasions,kibbeTypes,upvotes,downvotes,ownerId
Crop It Out Jacket - Medium,https://cdn.shopify.com/s/files/1/0293/9277/products/02-15-22Studio4_RM_KG_15-10-22_51_PH9082_MediumBlueWash_P_3438_SG_360x.jpg?v=1645053386,https://www.fashionnova.com/products/crop-it-out-jacket-medium,Insta Baddie / Y2K,"True Winter, Bright Winter","Cocktail, Clubbing","Coquette, Ingenue",13,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Recycled Pintuck Flare Jeans - Medium Blue Wash,https://cdn.shopify.com/s/files/1/0293/9277/products/11-17-21Studio1_KJ_KP_14-17-52_49_15797HRBF21_MediumBlueWash_0822_KS_360x.jpg?v=1637607002,https://www.fashionnova.com/products/recycled-pintuck-flare-jeans-medium-blue-wash,Insta Baddie / Y2K,"True Summer, Light Summer","Casual, Clubbing",Siren,19,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Warm Wishes Dress Set - Black,https://cdn.shopify.com/s/files/1/0293/9277/products/WarmWishesDressSet-Black2_MER_360x.jpg?v=1637342186,https://www.fashionnova.com/products/warm-wishes-dress-set-black,Insta Baddie / Y2K,"True Winter, Dark Winter","Cocktail, Clubbing",Femme Fatale,4,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Taryn Sweater Midi Dress - Burgundy,https://cdn.shopify.com/s/files/1/0293/9277/products/08-20-20Studio1_JP_DJ_13-57-28_22_D11051FN_Burgundy_3718_NT_360x.jpg?v=1597964280,https://www.fashionnova.com/products/taryn-sweater-midi-dress-burgundy,Insta Baddie / Y2K,"True Winter, Dark Winter","Smart Casual, Office",Feline,7,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Perfect Fantasy Ivory Sheer Embroidered Bodysuit,https://www.lulus.com/images/product/xlarge/8776401_1756136.jpg?w=394&hdpi=1,https://www.lulus.com/products/perfect-fantasy-ivory-sheer-embroidered-bodysuit/1756136.html,Insta Baddie / Y2K,"True Winter, Dark Winter","Casual, Date","Femme Fatale, Siren",9,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Catch Me Later Black Cross-Front Cutout Halter Bodysuit,https://www.lulus.com/images/product/xlarge/8472581_1752816.jpg?w=394&hdpi=1,https://www.lulus.com/products/catch-me-later-black-cross-front-cutout-halter-bodysuit/1752816.html,Goth / Grunge / Punk,"True Winter, Dark Winter","Casual, Date",Boss,7,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Love Like Yours Light Orange Textured Empire Waist Mini Dress,https://www.lulus.com/images/product/xlarge/8704081_1744836.jpg?w=394&hdpi=1,https://www.lulus.com/products/love-like-yours-light-orange-textured-empire-waist-mini-dress/1744836.html,Insta Baddie / Y2K,"True Spring, Light Spring","Casual, Date",Ingenue,26,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Side of Glam Rose Gold Sequin One-Shoulder Tulip Mini Dress,https://www.lulus.com/images/product/xlarge/8474101_1721176.jpg?w=394&hdpi=1,https://www.lulus.com/products/side-of-glam-rose-gold-sequin-one-shoulder-tulip-mini-dress/1721176.html,Soft / VSCO,"Bright Spring, Bright Winter","Cocktail, Holiday",Vixen,26,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Welcome Back Black Satin Tie-Back Button-Up Crop Top,https://www.lulus.com/images/product/xlarge/8092461_1606796.jpg?w=394&hdpi=1,https://www.lulus.com/products/welcome-back-black-satin-tie-back-button-up-crop-top/1606796.html,Goth / Grunge / Punk,"True Winter, Dark Winter","Casual, Date",Ingenue,14,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Shine for the Night Silver Metallic Bustier Pleated Maxi Dress,https://www.lulus.com/images/product/xlarge/7816881_1582816.jpg?w=394&hdpi=1,https://www.lulus.com/products/shine-for-the-night-silver-metallic-bustier-pleated-maxi-dress/1582816.html,Insta Baddie / Y2K,"True Winter, Bright Winter","Cocktail, Black Tie","Femme Fatale, Siren",10,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Luisa Jersey Rose Buds Print Dress,https://luisabeccaria.it/wp-content/uploads/2022/07/beccaria-14febbraio-113_clipped_rev_1-1582x2366.jpg,https://luisabeccaria.it/shop/ready-to-wear/dresses/luisa-jersey-rose-buds-print-dress/,Cottage-core,"True Winter, Bright Winter","Wedding, Black Tie",Vixen,9,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Wool Circle Of Roses Coat With Matchy Lining,https://luisabeccaria.it/wp-content/uploads/2022/07/beccaria-14febbraio-107-copia-1582x2366.jpg,https://luisabeccaria.it/shop/ready-to-wear/jackets-coats/wool-circle-of-roses-coat-with-matchy-lining/,Soft / VSCO,"True Winter, Bright Winter","Smart Casual, Office",Queen,43,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Pink Chiffon Crepon Dress,https://luisabeccaria.it/wp-content/uploads/2022/07/beccaria-14febbraio-301-1582x2366.jpg,https://luisabeccaria.it/shop/ready-to-wear/dresses/pink-chiffon-crepon-dress/,Soft / VSCO,"True Winter, Bright Winter","Wedding, Date",Feline,11,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Wool Circle Of Roses Coat With Lurex,https://luisabeccaria.it/wp-content/uploads/2022/07/beccaria-14febbraio-295-1582x2366.jpg,https://luisabeccaria.it/shop/ready-to-wear/jackets-coats/wool-circle-of-roses-coat-with-lurex/,Cottage-core,"Bright Spring, Soft Autumn","Wedding, Black Tie",Queen,49,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Grayson Dress - Black,https://cdna.lystit.com/200/250/tr/photos/bloomingdales/f2d39464/parker-Peach-Multi-Grayson-Embellished-Mini-Dress.jpeg,https://www.lyst.com/clothing/parker-grayson-short-sleeve-collared-plaid-sequin-mini-dress/,Goth / Grunge / Punk,"True Winter, Dark Winter","Cocktail, Black Tie",Coquette,8,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Tangia Flutter Sleeve Short Dress - Green,https://cdna.lystit.com/200/250/tr/photos/zappos/2a0297d4/parker-Green-Tangia-Flutter-Sleeve-Short-Dress.jpeg,https://www.lyst.com/clothing/parker-tangia-flutter-sleeve-short-dress-9/,Insta Baddie / Y2K,"True Autumn, Dark Autumn","Casual, Date",Femme Fatale,37,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Flapper Beaded Silk Dress - Gray,https://cdna.lystit.com/200/250/tr/photos/2012/09/17/parker-beaded-flapper-dress-product-3-4746399-285171973.jpeg,https://www.lyst.com/clothing/parker-beaded-flapper-dress/,Soft / VSCO,"True Summer, Soft Summer","Cocktail, Black Tie",Coquette,28,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Zipper Closure - Pink,https://cdna.lystit.com/200/250/tr/photos/zappos/eff2d2b2/parker-Pink-Zipper-Closure.jpeg,https://www.lyst.com/clothing/parker-b9a6000nch/,Insta Baddie / Y2K,"True Winter, Bright Winter","Cocktail, Black Tie",Vixen,6,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
